trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
959,True,"{'a': 0, 'e': 0}",20,16,7.236227789020987,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,True,"{'a': 0, 'e': 0}",20,13,-32.51301872761825,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
961,True,"{'a': 0, 'e': 0}",20,0,-32.13427058116307,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
962,True,"{'a': 0, 'e': 0}",20,0,-38.846150508463964,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
963,True,"{'a': 0, 'e': 0}",30,0,-68.04421249758298,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
964,True,"{'a': 0, 'e': 0}",20,0,26.008365234212278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
965,True,"{'a': 0, 'e': 0}",25,0,8.287410728248815,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
966,True,"{'a': 0, 'e': 0}",20,0,9.990714479584742,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
967,True,"{'a': 0, 'e': 0}",30,0,-36.86904896398847,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
968,True,"{'a': 0, 'e': 0}",25,0,-107.95851353146307,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",1
969,True,"{'a': 0, 'e': 0}",25,0,-12.149562847068749,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
970,True,"{'a': 0, 'e': 0}",30,0,-63.241621828752855,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
971,True,"{'a': 0, 'e': 0}",20,3,-19.64778924351169,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
972,True,"{'a': 0, 'e': 0}",20,0,-79.20579790058355,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
973,True,"{'a': 0, 'e': 0}",25,0,-29.851453966405977,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
974,True,"{'a': 0, 'e': 0}",20,0,-2.0528965461337787,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
975,True,"{'a': 0, 'e': 0}",20,9,-65.61902218074735,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
976,True,"{'a': 0, 'e': 0}",30,0,-147.46588873754803,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 4}",0
977,True,"{'a': 0, 'e': 0}",35,0,-59.1411518705686,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
978,True,"{'a': 0, 'e': 0}",20,0,9.25599646845828,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
979,True,"{'a': 0, 'e': 0}",25,0,-21.51256236256978,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
980,True,"{'a': 0, 'e': 0}",30,16,-28.953870006253403,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
981,True,"{'a': 0, 'e': 0}",20,0,27.286088951802387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
982,True,"{'a': 0, 'e': 0}",20,0,-9.459674913075702,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
983,True,"{'a': 0, 'e': 0}",25,0,-19.0607097321223,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
984,True,"{'a': 0, 'e': 0}",25,0,-8.626786000868924,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
985,True,"{'a': 0, 'e': 0}",25,0,-35.583401499166804,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
